id_src;opr_name;opr_nick;inn;bdpn_code;name_brand
10032;АО "ПО ЕЛАЗ";АО "ПО ЕЛАЗ";1646016818;;
10033;ОАО "Особая экономическая зона промышленно-производственного типа "Алабуга"";ОАО "Особая экономическая зона промышленно-производственного типа "Алабуга"";1646019914;;
10034;ООО "ИНТЕРДОЛ";ООО "ИНТЕРДОЛ";1648029717;;
10035;ПАО "КАМАЗ";ПАО "КАМАЗ";1650032058;;
10036;ПАО "Нижнекамскнефтехим";ПАО "Нижнекамскнефтехим";1651000010;;
10037;АО "ГК Татарстан";АО "ГК Татарстан";1654002858;;
10038;ООО "Сальвадор";ООО "Сальвадор";1654023216;;
10039;АО "Казгорсервис";АО "Казгорсервис";1654042829;;
10040;ООО "Аккорд Телеком";ООО "Аккорд Телеком";1655057137;;
10041;ООО "Корстон - Казань";ООО "Корстон - Казань";1655059173;;
10042;ЗАО "Идея Телеком";ЗАО "Идея Телеком";1655130309;;
10043;ООО "ТатАИСЭнерго";ООО "ТатАИСЭнерго";1655152750;;
10044;ООО "СвязьИнформБюро";ООО "СвязьИнформБюро";1655169313;;
10045;ООО "Скайнетворк";ООО "Скайнетворк";1655202761;;
10046;ЗАО "Телеком 21";ЗАО "Телеком 21";1655293769;;
10047;ООО "ТМТ";ООО "ТМТ";1655327859;27=mSMARTSK;
10048;ЗАО "Торус Телеком";ЗАО "Торус Телеком";1657072028;;
10049;ООО "Сити Ком";ООО "Сити Ком";1658046239;;
10050;ЗАО "АйКОМ";ЗАО "АйКОМ";1660092271;;
10051;ООО "Тигрис";ООО "Тигрис";1660096639;;
10052;ООО "Элемтэ-Инвест";ООО "Элемтэ-Инвест";1660101110;;
10053;ПАО "Таттелеком";ПАО "Таттелеком";1681000024;27=mTATTELEKOM;
10054;АО "Тывасвязьинформ";АО "Тывасвязьинформ";1701034426;;
10055;АО "Воткинский завод";АО "Воткинский завод";1828020110;;
10056;ООО "РадиоЛинк";ООО "РадиоЛинк";1831069797;;
10057;АО "ИЭМЗ "Купол";АО "ИЭМЗ "Купол";1831083343;;
10058;ООО "Ижевские сетевые технологии";ООО "Ижевские сетевые технологии";1831084185;;
10059;ООО "ОЙЛ-ТЕЛЕКОМ";ООО "ОЙЛ-ТЕЛЕКОМ";1831087806;;
10060;ООО "ЛайнерТелеком";ООО "ЛайнерТелеком";1831142694;;
10061;ООО "Региональные ТелеСистемы";ООО "Региональные ТелеСистемы";1831159930;;
10062;ООО "ТЕЛЕПОРТ";ООО "ТЕЛЕПОРТ";1835065507;;
10063;ООО "ТК "Марк-ИТТ";ООО "ТК "Марк-ИТТ";1841063770;;
10064;АО "Аэропорт Абакан";АО "Аэропорт Абакан";1900000196;;
10065;ООО "Мобил Телеком Хакасия";ООО "Мобил Телеком Хакасия";1901048948;;
10066;ООО "Альфател плюс";ООО "Альфател плюс";1901066023;;
10067;ООО "Телецентр";ООО "Телецентр";1901076832;;
10068;ООО "Центр междугородной связи";ООО "Центр междугородной связи";1901094447;;
10069;Общество с ограниченной ответственностью "Центр связи, информатики и телекоммуникаций";Общество с ограниченной ответственностью "Центр связи, информатики и телекоммуникаций";1901102352;;
10070;АО "Вайнах Телеком";АО "Вайнах Телеком";2005503932;8=mVAINAX;
10071;Акционерное общество "Электросвязь" в Чеченской Республике;Акционерное общество "Электросвязь" в Чеченской Республике;2014016741;;
10072;ФГУП "Электросвязь" в ЧР;ФГУП "Электросвязь" в ЧР;2020000147;;
10073;ООО "Новое Кабельное Телевидение";ООО "Новое Кабельное Телевидение";2124025080;;
10074;ОАО "АБС ЗЭиМ Автоматизация";ОАО "АБС ЗЭиМ Автоматизация";2128006240;;
10075;ООО "Шупашкартранс-К";ООО "Шупашкартранс-К";2128031599;;
10076;ООО "АМИТЕЛ";ООО "АМИТЕЛ";2129050587;;
10077;МБУ "Чебоксары-Телеком";МБУ "Чебоксары-Телеком";2130063118;;
10078;АУ "Центр информационных технологий" Мининформполитики Чувашии;АУ "Центр информационных технологий" Мининформполитики Чувашии;2130176633;;
10079;ООО "Инфанет";ООО "Инфанет";2130193357;;
10080;ИП Прокофьев Сергей Константинович;ИП Прокофьев Сергей Константинович;220413190640;;
10081;ООО "Связь";ООО "Связь";2209025699;;
10082;ООО "Интерсвязь";ООО "Интерсвязь";2221032766;;
10083;ИП Прокудина Татьяна Васильевна;ИП Прокудина Татьяна Васильевна;222407752239;;
10084;ООО "Милеком";ООО "Милеком";2224102122;;
10085;ООО "Сибэнерготелеком";ООО "Сибэнерготелеком";2224131268;;
10086;ООО "ДиалогСибирь-Барнаул";ООО "ДиалогСибирь-Барнаул";2225058684;;
10087;ООО "Дианэт.ру";ООО "Дианэт.ру";2225154860;;
10088;ИП Назаров Вадим Александрович;ИП Назаров Вадим Александрович;222700432343;;
10089;ООО "Алтайсвязь";ООО "Алтайсвязь";2227022066;;
10090;ООО "ИТ";ООО "ИТ";2302054831;;
10091;ООО "Белтелеком";ООО "Белтелеком";2303025304;;
10092;АО "Южморгеология";АО "Южморгеология";2304070606;;
10093;ООО "Фирма "СВЯЗЬ";ООО "Фирма "СВЯЗЬ";2306003330;;
10094;ЗАО "Кубинтерсвязь";ЗАО "Кубинтерсвязь";2308024086;;
10095;ООО "Новтек";ООО "Новтек";2308070773;;
10096;ООО "Южный ТЕЛЕКОМ";ООО "Южный ТЕЛЕКОМ";2308073414;;
10097;ООО "ТелеМакс";ООО "ТелеМакс";2308161942;;
10098;ООО "Строй-Телеком";ООО "Строй-Телеком";2308163555;;
10099;ООО "МИР Телеком";ООО "МИР Телеком";2308178706;;
10100;ООО "К-телеком";ООО "К-телеком";2308210371;32=mKTEL;
10101;ООО "Юг-Линк";ООО "Юг-Линк";2309091840;;
10102;ООО "КомЛинк";ООО "КомЛинк";2309100188;;
10103;ООО "Опти Линк";ООО "Опти Линк";2309118717;;
10104;Акционерное общество "Тандер";Акционерное общество "Тандер";2310031475;;
10105;ООО "Инновационные технологии";ООО "Инновационные технологии";2310146571;;
10106;ООО "Концепт Комм";ООО "Концепт Комм";2310171761;;
10107;ООО "СВЯЗЬРЕСУРС-МОБАЙЛ";ООО "СВЯЗЬРЕСУРС-МОБАЙЛ";2310199816;;
10108;ООО "ДомСеть";ООО "ДомСеть";2310213852;;
10109;ООО "Ирбис Телекоммуникейшнс";ООО "Ирбис Телекоммуникейшнс";2312023790;;
10110;ООО "ММП Комьюникейшнз";ООО "ММП Комьюникейшнз";2312099246;;
10111;ООО "КУБАНЬ-ТЕЛЕКОМ";ООО "КУБАНЬ-ТЕЛЕКОМ";2312138618;;
10112;ООО "Артеком";ООО "Артеком";2312151418;;
10113;ООО "Юг-Телеком";ООО "Юг-Телеком";2312212798;;
10114;ООО "Телекоммуникационные системы Кубани";ООО "Телекоммуникационные системы Кубани";2312214114;;
10115;ООО "Краснодарские Локальные Сети";ООО "Краснодарские Локальные Сети";2312230010;;
10116;ООО "ИРБИС ТЕЛЕКОМ КРАСНОДАР";ООО "ИРБИС ТЕЛЕКОМ КРАСНОДАР";2312297858;;
10117;ПАО "Новороссийский морской торговый порт";ПАО "Новороссийский морской торговый порт";2315004404;;
10118;АО "Новорослесэкспорт";АО "Новорослесэкспорт";2315014794;;
10119;ООО "Формула+";ООО "Формула+";2315027458;;
10120;ООО "ТелекомСервис";ООО "ТелекомСервис";2315103645;;
10121;ООО "Спринт инет";ООО "Спринт инет";2315209384;;
10122;ООО "Южная телефонная компания";ООО "Южная телефонная компания";2317035856;;
10123;ООО "Дагомыс Телеком";ООО "Дагомыс Телеком";2318035425;;
10124;ФГБУ "Объединенный санаторий "Русь";ФГБУ "Объединенный санаторий "Русь";2319023817;;
10125;ГУП "Сочинский Производственно-эксплуатационный узел технологической связи";ГУП "Сочинский Производственно-эксплуатационный узел технологической связи";2320010001;;
10126;ООО "РАДИСТ";ООО "РАДИСТ";2320023716;;
10127;Санаторий "Беларусь";Санаторий "Беларусь";2320042317;;
10128;ООО "Сочи-Онлайн";ООО "Сочи-Онлайн";2320092773;;
10129;ООО "Первая сеть";ООО "Первая сеть";2320105623;;
10130;ООО "ЕТС";ООО "ЕТС";2320117690;;
10131;ООО "НЕБЕСНАЯ СЕТЬ";ООО "НЕБЕСНАЯ СЕТЬ";2321011897;;
10132;ЗАО "ТУАПСЕ-СВЯЗЬ";ЗАО "ТУАПСЕ-СВЯЗЬ";2322005617;;
10133;ООО "Мультисервис";ООО "Мультисервис";2322028036;;
10134;ООО "Кубанская Речная Связь";ООО "Кубанская Речная Связь";2349031614;;
10135;ГУ "санаторий "Белая Русь" Управления делами Президента Республики Беларусь";ГУ "санаторий "Белая Русь" Управления делами Президента Республики Беларусь";2355008500;;
10136;ООО "Альфаком";ООО "Альфаком";2407012525;;
10137;ООО "КТИ";ООО "КТИ";2420070886;;
10138;ИП Самохвалов Сергей Тимофеевич;ИП Самохвалов Сергей Тимофеевич;242300983500;;
10139;ООО "Северо-Енисейск-Телеком";ООО "Северо-Енисейск-Телеком";2434500627;;
10140;ОАО "СТРК";ОАО "СТРК";2437002299;;
10141;АО "АНПЗ ВНК";АО "АНПЗ ВНК";2443000518;;
10142;ООО "ИНТЕРМЕДИА";ООО "ИНТЕРМЕДИА";2443018593;;
10143;ООО "СиНТ";ООО "СиНТ";2443019893;;
10144;ООО "СвязьСервис";ООО "СвязьСервис";2443020345;;
10145;ООО "МЕКАД";ООО "МЕКАД";2443040581;;
10146;ИП Соловьёв Игорь Эдуардович;ИП Соловьёв Игорь Эдуардович;245000665213;;
10147;АО "ЕРП";АО "ЕРП";2451000582;;
10148;ООО "Современные информационные инициативы";ООО "Современные информационные инициативы";2452041415;;
10149;ООО "ГТС"(2452048883);ООО "ГТС";2452048883;;
10150;ООО "Телеком ГХК";ООО "Телеком ГХК";2452201651;;
10151;ОАО "Производственное объединение "Электрохимический завод"";ОАО "Производственное объединение "Электрохимический завод"";2453013555;;
10152;ООО "Пирамида";ООО "Пирамида";2456004608;;
10153;АО "Норильск-Телеком";АО "Норильск-Телеком";2457067199;;
10154;ООО "Линс-Интек";ООО "Линс-Интек";2460059529;;
10155;ООО "ТК Телезон" (ИНН 2460087999);ООО "ТК Телезон" (ИНН 2460087999);2460087999;;
10156;ООО "Мобилон Телекоммуникации";ООО "Мобилон Телекоммуникации";2460242115;;
10157;ООО "Красноярская сеть";ООО "Красноярская сеть";2462220276;;
10158;ФИЦ КНЦ СО РАН;ФИЦ КНЦ СО РАН;2463002263;;
10159;ООО "Енисейнет";ООО "Енисейнет";2463010176;;
10160;ФГАОУ ВО "Сибирский федеральный университет";ФГАОУ ВО "Сибирский федеральный университет";2463011853;;
10161;АО "КБ "Искра";АО "КБ "Искра";2463029755;;
10162;ООО "СОЮЗ - ТЕЛЕКОМ";ООО "СОЮЗ - ТЕЛЕКОМ";2463056727;;
10163;ООО "Радиоимпульс-Телеком";ООО "Радиоимпульс-Телеком";2463064421;;
10164;ООО "Инжиниринговое бюро Феникс";ООО "Инжиниринговое бюро Феникс";2463093246;;
10165;ООО "Телезон-Сети";ООО "Телезон-Сети";2463115115;;
10166;ООО "ГЕОТЕЛЕКОМ";ООО "ГЕОТЕЛЕКОМ";2464032006;;
10167;ООО "СибСервисСвязь";ООО "СибСервисСвязь";2464202804;;
10168;ООО "КрасПромСтрой";ООО "КрасПромСтрой";2464236955;;
10169;ООО "КраМЗ-ТЕЛЕКОМ";ООО "КраМЗ-ТЕЛЕКОМ";2465050054;;
10170;ООО "ЕнисейСвязьСервис";ООО "ЕнисейСвязьСервис";2465099050;;
10171;ЗАО "Владимирград";ЗАО "Владимирград";2465277055;;
10172;ООО "АПЛИНК";ООО "АПЛИНК";2465332250;;
10173;ЗАО "Красноярский производственно-технический узел связи";ЗАО "Красноярский производственно-технический узел связи";2466002222;;
10174;ООО "СИБ-ТЕЛЕКОМ";ООО "СИБ-ТЕЛЕКОМ";2466031248;;
10175;ООО "ИНТРА";ООО "ИНТРА";2466077732;;
10176;ООО "Енисейтелефон";ООО "Енисейтелефон";2466077852;;
10177;ООО "Игра-Сервис";ООО "Игра-Сервис";2466092240;;
10178;ООО "ИнтраЛайн";ООО "ИнтраЛайн";2466109470;;
10179;ООО "Территориальное производственно-техническое управление связи "Енисейнефтегаз"";ООО "Территориальное производственно-техническое управление связи "Енисейнефтегаз"";2466162554;;
10180;ООО "Орион телеком" (ИНН 2466220319);ООО "Орион телеком" (ИНН 2466220319);2466220319;;
10181;ООО "Орион телеком";ООО "Орион телеком";2466247790;;
10182;ООО "Мобил Телеком 24";ООО "Мобил Телеком 24";2466281833;;
10183;Муниципальное бюджетное учреждение "Центр телекоммуникаций и связи" Эвенкийского муниципального района Красноярского края;Муниципальное бюджетное учреждение "Центр телекоммуникаций и связи" Эвенкийского муниципального района Красноярского края;2470001542;;
10184;АО "МАВ";АО "МАВ";2502035642;;
10185;ОАО "Телекоммуникации СЭЗ "Находка"";ОАО "Телекоммуникации СЭЗ "Находка"";2508012480;;
10186;ООО "Неоком";ООО "Неоком";2508015628;;
10187;ООО "СТИЛАР";ООО "СТИЛАР";2511045245;;
10188;ООО "Связьнефть";ООО "Связьнефть";0253015262;;
10189;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ЛОТТЕ отель Владивосток";ООО "ЛОТТЕ отель Владивосток";2536021239;;
10190;ООО "ОктопусНет";ООО "ОктопусНет";2536136712;;
10191;АО "АКОС";АО "АКОС";2540001972;;
10192;ООО "ПортТелеком";ООО "ПортТелеком";2540096163;;
10193;ООО "СерДи ТелеКом";ООО "СерДи ТелеКом";2609019259;;
10194;ИП Гальченко Анна Викторовна;ИП Гальченко Анна Викторовна;261706754206;;
10195;ООО "СтройТехСвязь";ООО "СтройТехСвязь";2624032102;;
10196;ООО "КМВтелеком";ООО "КМВтелеком";2626045442;;
10197;ФГБУ "Санаторий "Заря";ФГБУ "Санаторий "Заря";2628008534;;
10198;ООО "Бизнес Связь";ООО "Бизнес Связь";2628060598;;
10199;ООО "НевТелеКом";ООО "НевТелеКом";2631031011;;
10200;ООО "Городские сети связи";ООО "Городские сети связи";2631804230;;
10201;ООО "ПАКС";ООО "ПАКС";2632004902;;
10202;ЛПУП "Лечебно-профилактическое учреждение профсоюзов санаторий "Родник";ЛПУП "Лечебно-профилактическое учреждение профсоюзов санаторий "Родник";2632053836;;
10203;ООО "Связьпоставка";ООО "Связьпоставка";2632070694;;
10204;ООО "5КОМ";ООО "5КОМ";2632102508;;
10205;ЗАО "СОЕСТА";ЗАО "СОЕСТА";2634047348;;
10206;ООО "СЕТЬ";ООО "СЕТЬ";2635100562;;
10207;ООО "Связьинвест";ООО "Связьинвест";2635108723;;
10208;ЗАО "ТЕЛКО";ЗАО "ТЕЛКО";2636033069;;
10209;ООО "Альфаком";ООО "Альфаком";0264062144;;
10210;ООО "Медиа-Маркет";ООО "Медиа-Маркет";0266033727;;
10211;ООО "Газпром нефтехим Салават";ООО "Газпром нефтехим Салават";0266048970;;
10212;ООО "ЛАЙМ ТЕЛЕКОМ";ООО "ЛАЙМ ТЕЛЕКОМ";2703020124;;
10213;ООО "САТ-ДВ";ООО "САТ-ДВ";2706023370;;
10214;АО "Рэдком-Интернет";АО "Рэдком-Интернет";2720023090;;
10215;ООО "Дальневосточная компания телекоммуникаций";ООО "Дальневосточная компания телекоммуникаций";2721064702;;
10216;ООО "Дата-Лайн";ООО "Дата-Лайн";2721145214;;
10217;ООО "Авантелеком";ООО "Авантелеком";2721184904;;
10218;ООО "Союз Телекоммуникаций";ООО "Союз Телекоммуникаций";2721198086;;
10219;ООО "АМУРСТАЛЬ";ООО "АМУРСТАЛЬ";2723188252;;
10220;ФГБОУ ВПО ДВГУПС;ФГБОУ ВПО ДВГУПС;2724018158;;
10221;АО "ХАБАРОВСКИЙ АЭРОПОРТ";АО "ХАБАРОВСКИЙ АЭРОПОРТ";2724083654;;
10222;ООО "Хабаровск-Телеком";ООО "Хабаровск-Телеком";2724090468;;
10223;ООО "Примтелеком";ООО "Примтелеком";2724207719;;
10224;ООО "Телефонная компания Востоктелеком";ООО "Телефонная компания Востоктелеком";2725001319;;
10225;ООО "Корпоративные Коммуникации";ООО "Корпоративные Коммуникации";0273925407;;
10226;ПАО "Башинформсвязь";ПАО "Башинформсвязь";0274018377;;
10227;ООО "РТК-Волга-Урал";ООО "РТК-Волга-Урал";0274062440;;
10228;АО "МАУ";АО "МАУ";0274108180;;
10229;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "РИНАМАКС";ООО "Ринамакс";0274179134;;
10230;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ПАРТНЁР";ООО "Партнер";0274937490;;
10231;ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ЦЕНТР ИНФОРМАЦИОННО-КОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ РЕСПУБЛИКИ БАШКОРТОСТАН;ГУП Центр ИКТ РБ;0276137845;;
10232;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "БАШКИРСКИЕ РАСПРЕДЕЛИТЕЛЬНЫЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ";ООО "Башкирэнерго";0277071467;;
10233;АКЦИОНЕРНОЕ ОБЩЕСТВО "УФАНЕТ";АО "Уфанет";0278109628;;
10234;ООО "Теледайн системс лимитед";ООО "Теледайн системс лимитед";2801037655;;
10235;ООО "Амуртелеком";ООО "Амуртелеком";2801090730;;
10236;ОАО "Дальневосточная распределительная сетевая компания";ОАО "Дальневосточная распределительная сетевая компания";2801108200;;
10237;ООО "Транссвязьтелеком";ООО "Транссвязьтелеком";2808015481;;
10238;Муниципальное бюджетное учреждение "Узел связи Новая Земля";Муниципальное бюджетное учреждение "Узел связи Новая Земля";2901289984;;
10239;АО "Архангельский ЦБК";АО "Архангельский ЦБК";2903000446;;
10240;ООО "ОНЛАЙН СЕВЕР";ООО "ОНЛАЙН СЕВЕР";2912005899;;
10241;ООО "Астрахань-Телеком";ООО "Астрахань-Телеком";3015046910;;
10242;ООО АТК "РЕАЛ";ООО АТК "РЕАЛ";3015062598;;
10243;ООО "Предприятие связи "ТЕЛЕКОМСЕРВИС"";ООО "Предприятие связи "ТЕЛЕКОМСЕРВИС"";3016032966;;
10244;ЗАО "АЦТ";ЗАО "АЦТ";3017045365;;
10245;ООО "Аст-Системс";ООО "Аст-Системс";3017049553;;
10246;ООО "Комета";ООО "Комета";3120011962;;
10247;АО "СвязьТелеком";АО "СвязьТелеком";3123071286;;
10248;ООО "Связьинформ";ООО "Связьинформ";3123168351;;
10249;ООО "Региональные ТелеСистемы";ООО "Региональные ТелеСистемы";3123178261;;
10250;ООО "Ин-лайн Телеком";ООО "Ин-лайн Телеком";3123192700;;
10251;ООО "Системы связи";ООО "Системы связи";3123340933;;
10252;ООО "СкайБерг";ООО "СкайБерг";3123353410;;
10253;ООО "Региональные ТелеСистемы Групп";ООО "Региональные ТелеСистемы Групп";3123364525;;
10254;ОАО "Комбинат КМАруда";ОАО "Комбинат КМАруда";3127000021;;
10255;АО СЗ «КМАПЖС»;АО СЗ «КМАПЖС»;3128001437;;
10256;АО «ОЭМК им. А.А. Угарова;АО «ОЭМК им. А.А. Угарова;3128005752;;
10257;ОАО "Стойленский ГОК";ОАО "Стойленский ГОК";3128011788;;
10258;ЗАО "ОСКОЛНЭТ";ЗАО "ОСКОЛНЭТ";3128020567;;
10259;ЗАО "Спецэнерго";ЗАО "Спецэнерго";3128025082;;
10260;ООО "РеИнфоКом";ООО "РеИнфоКом";3128039670;;
10261;ООО "ГОРПТУС";ООО "ГОРПТУС";3128057285;;
10262;ООО "Узел связи";ООО "Узел связи";3128073760;;
10263;ООО "Байкал Диалог";ООО "Байкал Диалог";0317009203;;
10264;ООО "СВЯЗИСТ";ООО "СВЯЗИСТ";3301015408;;
10265;ОАО "Завод имени В.А. Дегтярева";ОАО "Завод имени В.А. Дегтярева";3305004083;;
10266;АО "Ковровский электромеханический завод";АО "Ковровский электромеханический завод";3305004421;;
10267;ООО "Связь";ООО "Связь";3305051823;;
10268;ООО "Модус";ООО "Модус";3307004561;;
10269;ОАО "Городской узел связи г. Радужный";ОАО "Городской узел связи г. Радужный";3308000577;;
10270;ООО "ВЛАДИНФО";ООО "ВЛАДИНФО";3328421421;;
10271;ООО "ИнфоСервис";ООО "ИнфоСервис";3328432550;;
10272;ООО "Партнер";ООО "Партнер";3328496554;;
10273;ООО "РАТЕКС";ООО "РАТЕКС";3328502663;;
10274;АО "ВАКЗ";АО "ВАКЗ";3435000266;;
10275;ООО "ПАУЭРНЕТ";ООО "ПАУЭРНЕТ";3435100768;;
10276;ООО "ИНСАТКОМ-В";ООО "ИНСАТКОМ-В";3442051800;;
10277;ООО "СвязьИнформ-Волгоград";ООО "СвязьИнформ-Волгоград";3442101970;;
10278;АО "ФНПЦ "ТИТАН-БАРРИКАДЫ";АО "ФНПЦ "ТИТАН-БАРРИКАДЫ";3442110950;;
10279;ООО "Информсервис";ООО "Информсервис";3444082321;;
10280;ООО "Спринт Сеть";ООО "Спринт Сеть";3444095024;;
10281;ООО "СТС";ООО "СТС";3444105184;;
10282;АО "КАУСТИК";АО "КАУСТИК";3448003962;;
10283;ОАО "Волгоградский керамический завод";ОАО "Волгоградский керамический завод";3448004050;;
10284;ГУП "Волго-Донск.гос.упр.судох";ГУП "Волго-Донск.гос.упр.судох";3448009717;;
10285;ООО "Комлайн";ООО "Комлайн";3521004360;;
10286;ЗАО "Вологодский подшипниковый завод";ЗАО "Вологодский подшипниковый завод";3525027150;;
10287;ООО "Бизнес Бокс";ООО "Бизнес Бокс";3525338684;;
10288;ООО "Даринет";ООО "Даринет";3525467954;;
10289;ООО "ЭСТЕР";ООО "ЭСТЕР";3525468267;;
10290;АО "Северсталь-инфоком";АО "Северсталь-инфоком";3528007105;;
10291;ООО "Бизнес-Лайн";ООО "Бизнес-Лайн";3528209856;;
10292;Акционерное общество "Бизнеском";Акционерное общество "Бизнеском";3528294019;;
10293;АО "Минудобрения";АО "Минудобрения";3627000397;;
10294;ЗАО "Информационные системы и технологии";ЗАО "Информационные системы и технологии";3662103282;;
10295;ОАО "Телеком-Сервис";ОАО "Телеком-Сервис";3662107689;;
10296;АО "КВАНТ-ТЕЛЕКОМ";АО "КВАНТ-ТЕЛЕКОМ";3662124236;;
10297;ООО "ВИПЛАЙН";ООО "ВИПЛАЙН";3662209835;;
10298;ООО "Теле-Телеком";ООО "Теле-Телеком";3662231125;;
10299;ООО "ЦИФРОВЫЕ КОММУНИКАЦИИ";ООО "ЦИФРОВЫЕ КОММУНИКАЦИИ";3664134279;;
10300;ООО "Воронеж Телеком";ООО "Воронеж Телеком";3664209020;;
10301;ООО "ЕТТ";ООО "ЕТТ";3664236915;;
10302;ООО "ЛЬЕЗОН-РЕМСТРОЙМОНТАЖ";ООО "ЛЬЕЗОН-РЕМСТРОЙМОНТАЖ";3665029372;;
10303;ООО "Воронеж Телефон";ООО "Воронеж Телефон";3665060870;;
10304;ЗАО ИК "Информсвязь-Черноземье";ЗАО ИК "Информсвязь-Черноземье";3666077347;;
10305;ООО "Телеком В1";ООО "Телеком В1";3666122913;;
10306;ООО "Формат-Центр";ООО "Формат-Центр";3666169693;;
10307;ООО "Интеркомтел";ООО "Интеркомтел";3702087103;;
10308;ООО "Интеркомтел Север";ООО "Интеркомтел Север";3702160191;;
10309;ООО "Спектр";ООО "Спектр";3713001475;;
10310;ФГБУ здравоохранения "Медицинский центр "Решма" Федерального медико-биологического агентства";ФГБУ здравоохранения "Медицинский центр "Решма" Федерального медико-биологического агентства";3713003497;;
10311;АО "ПСК";АО "ПСК";3729007313;;
10312;ООО "Комтел";ООО "Комтел";3729027172;;
10313;АО "Полет";АО "Полет";3731001750;;
10314;АО "АНХК";АО "АНХК";3801009466;;
10315;ООО "БТК";ООО "БТК";3801067919;;
10316;АО "АЭХК";АО "АЭХК";3801098402;;
10317;ООО "Телеком-контакт";ООО "Телеком-контакт";3804002300;;
10318;ООО "Телевизионные сети";ООО "Телевизионные сети";3804020796;;
10319;ООО "Тарио" (ИНН 3804123600);ООО "Тарио" (ИНН 3804123600);3804123600;;
10320;ООО "Новая Сибирь Плюс";ООО "Новая Сибирь Плюс";3805104897;;
10321;ООО "ТАРИО" (ИНН 3805110682);ООО "ТАРИО" (ИНН 3805110682);3805110682;;
10322;ООО "Телесети";ООО "Телесети";3805706186;;
